question,answer,docid,dataType,title,content
A100式火箭炮的基本作戰單元包括哪些車輛？,根據原文“A100型300毫米多管火箭武器系統，由1輛指揮車、4~6輛發射車和4~6輛運彈車組成一個基本作戰單元”可知，A100式火箭炮的基本作戰單元包括1輛指揮車、4~6輛發射車和4~6輛運彈車。,154437,百科,A100式火箭炮,同義詞 中國A100式300毫米自行火箭炮一般指A100式火箭炮 A100型300毫米多管火箭武器系統，由1輛指揮車、4~6輛發射車和4~6輛運彈車組成一個基本作戰單元。火箭發射車採用TA80型越野車爲底盤；配備的火箭彈安裝有簡易控制系統，可保證攻擊的準確度，戰鬥部爲二元（反裝甲、反人員）子母式戰鬥部。
VIX指數的作用是什麼？,根據原文“VIX被廣泛用來作爲衡量市場風險和投資者恐慌度的指標”可知，VIX指數的作用是衡量市場風險和投資者恐慌度的指標。 VIX指數反映投資者對後市的恐慌程度，指數愈高表示投資者對股市狀況感到不安，指數愈低表示股票指數變動將趨緩。,561731,百科,VIX,"VIX 是芝加哥期權期貨交易所 使用的市場波動性指數。通過該指數，可以瞭解到市場對未來30天市場波動性的預期。同義詞 波動率指數一般指VIX VIX組成類型 VIX由S&P500 （標準普爾500指數）的成分股的期權波動性組成。且被廣泛用來作爲衡量市場風險和投資者恐慌度的指標。 該類指數有三種：VIX 跟蹤S&P500；VXN跟蹤Nasdaq 100成分股；VXD則跟蹤道瓊斯工業指數。 1993 年，芝加哥期權期貨交易所 開始使用第一支VIX，僅僅從S&P100 裏選出8只股票來做基礎。 10年後，此範圍擴大到S&P500。從而可以獲得更大的準確性。 VIX指數（CBOT Volatility Index），即波動率指數，是由CBOT所編制，以S&P500指數期權的隱含波動率計算得來。若隱含波動率高，則VIX指數也越高。該指數反映出投資者願意付出多少成本去對沖投資風險。 因此，VIX廣泛用於反映投資者對後市的恐慌程度，又稱“恐慌指數”。指數愈高，意味着投資者對股市狀況感到不安；指數愈低，表示股票指數變動將趨緩。 參考指標通常有：^VIX ^VIF ^VIN VIX.HA V IX NZ VIX簡介 侷限性及廣義波動率指數 在周昆教授與姜萬軍教授及李婧睿的研究論文(Does VIX Truly Measure Return Volatility？)中，他們從理論與實證的角度證明，在沒有假設條件的一般情況下，芝加哥期權交易所(CBOE)的波動率指數(VIX)顯著低估了市場實際的波動狀況。 尤其是,市場波動越大，低估的情況越嚴重。 這對購買VIX金融商品的投資人造成不容忽視的負面影響。 經由嚴謹的數學推導，周教授等證實造成VIX偏差的原由乃是第三階動差，因爲VIX事實上是一羣不同階層動差(moments)的線性組合，並非單純的波動係數。當系統風險增大，看空股市的投資人增多，第三階動差呈現負值。換言之，股市波動越大，三階動差的負值越高。受到此負值的衝擊，VIX因此低估了實際的市場波動。 爲要解決VIX的嚴重缺失，周教授等提出另外一種的計算公式,名爲廣義波動率指數(Generalized Volatility Index, GVIX)。GVIX是完全依據波動係數的定義直接導證而來，無須假設條件。如同VIX, GVIX 也是一個前瞻指數，卻不受任何高階動差的影響。因此，GVIX可以充分表述市場的真實波動。GVIX指數商品(如期貨，期權，或ETF等)更可提供投資人較精準的避險工具。 詞條圖冊 更多圖冊"
Phiaton是哪個公司的品牌？,根據原文“Phiaton隸屬於Cresyn有限公司，Cresyn在電子音頻領域久負盛名”可知，Phiaton是隸屬於Cresyn有限公司的品牌，而Cresyn在電子音頻領域久負盛名。,200746,百科,phiaton,Phiaton品牌2008年於美國註冊，同年在美國CES展會上正式推出，目前正以美國爲中心向全世界推廣。人們期盼已久的非凡選擇——Phiaton（斐雅通），每款產品均結合了創新的技術和典雅的設計，以最自然的聲音及精湛做工引人注目。無論頭戴式耳機、入耳式耳機抑或揚聲器，全世界都在用Phiaton盡情傾聽。公司特色 斐雅通一個厚積薄發的奢華品牌，您的非凡選擇。Phiaton產品結合了創新的技術、典雅的設計和精湛的製造，以自然的音色、舒適的佩戴和引人注目的外觀出現在世人面前。今天，人們正在使用Phiaton耳機感受音樂世界的無限魅力。 誕生 Phiaton隸屬於Cresyn有限公司，Cresyn在電子音頻領域久負盛名，世界上很多最暢銷的頭戴式耳機、入耳式耳機或揚聲器都出自Cresyn之手。公司產品包括頭戴式耳機、入耳式耳機、頭掛式耳機、藍牙耳機、微型揚聲器、數字遙控器、充電器裝置和圖像傳感器模塊等，而相機模塊及其他高精尖產品也在研發中。 Cresyn成立於1959年，總部設在韓國首爾，在日本、印尼和中國建有完備的生產基地，目前全球員工超過12000名。Cresyn以不斷創新爲企業發展理念，通過提升客戶價值以實現自身品牌的競爭力和影響力。至今Cresyn獲得了ISO 9001、ISO 14001產品質量認證；TL 9000產品質量管理和環境管理認證，同時也在積極改進批量生產能力。 故事 Phiaton（fee’ ah ton），一個世紀以來最具想象力的品牌。 在古希臘，字母‘PHI’象徵着‘黃金比例’。這是一個數學概念，它代表的是兩種形式的‘對稱結構’和‘平衡的美感’。黃金比例的靈感曾被用於斐波納契的數學工程；萊昂納多.達.芬奇的繪畫構圖，以及德彪西的音樂作品之中。因爲‘PHI’，所以Phiaton定義了一個由專業設計音頻技術支持的愉快的聆聽概念。‘TON’有許多用法，在Phiaton身上，它兼具英語‘性質和聲音質量’，以及法語‘時尚風格’的雙重含義。 快來體驗吧，戴上Phiaton，你會爲它賦予你的非凡音質和外觀設計感到無上自豪！
1927年1月3日一三慘案的起因是什麼？,根據原文“一三慘案起因 4時許。英國水兵突然從租界衝出，用刺刀驅趕正在聽講的羣衆。”可知，一三慘案的起因是英國水兵突然衝出租界，用刺刀驅趕正在聽講的羣衆。,4677,百科,一三慘案,一三慘案是指1927年1月3日，武漢工人、學生和市民召開大會，慶祝北伐勝利和國民政府遷到武漢。1月3日下午2時，漢口江漢關前靠近英租界的空地上(現苗家碼頭)，武漢中央軍事政治學校政治科30餘名學生宣傳員在此演說，羣衆聚集靜聽，秩序井然。英租界頓時戒嚴，急調大批水兵登岸，在堆壘的工事上架起十餘挺機槍，對準聽講羣衆。4時許．英國水兵突然從租界衝出，用刺刀驅趕羣衆。羣衆怒不可遏，但卻手無寸鐵，只能投石以抗。英軍當場將海員李大生等2人刺成重傷，輕傷數十人，製造了一三慘案。一三慘案起因 4時許。英國水兵突然從租界衝出，用刺刀驅趕正在聽講的羣衆。羣衆怒不可遏，雙方對峙。 一三慘案影響 慘案發生後立即激起中國人民的極大民族義憤，一場新的反帝風暴迅速在武漢升騰。正在漢口南洋大樓開會的國民黨中央委員、國民政府委員聯席會議聞訊後，立即派出徐謙、蔣作賓與國民黨漢口特別市黨部代表宛希儼、李國煊趕到現場。當時在武漢領導工人運動的中共黨員劉少奇聞汛後，馬上同工人糾察隊趕赴現場，並會同國民政府代表，向英領事提出抗議。武漢國民政府代表一面要求英兵退入租界．一面宣佈，政府採取辦法，在24小時內作出答覆，爲人民報仇雪恥。 慘案發生後，武漢各界於當晚分別召集緊急會議，分析形勢，研究對策。武漢國民政府外交部長陳友仁召見英國駐漢領事，在召見過程中，英國領事採取惡人先告狀的伎倆，外交部長抗議英國水兵的暴行．義正辭嚴地限令英國水兵24小時內撤回軍艦上，否則不負英國人安全之責任。 一三慘案措施 4日上午11時，武漢工、商、學界200多個團體代表，在漢口總商會召開緊急會議，組成武漢市民對英外交委員會，以省總工會的六點要求爲基礎，決定了八條對英辦法，即： 請政府立即向英領事提出嚴重抗議； 令英領事賠償死難同胞損失； 令英領事將行兇水兵交我政府懲辦； 撤走駐漢英艦及英租界沙包、電網； 撤銷內河航權； 英領事向我政府道歉； 英租界巡捕繳械； 由政府管理英租界。 一三慘案結果 武漢國民政府接受了各界團體提出的八項條件，即派中央黨部代表陳羣到英租界巡捕房主持一切，令衛戍司令部派兵三個連入駐英租界。省總工會也派出工人糾察隊300餘名進入英租維持秩序。全市5日，全市總罷工、罷課、罷市聲討英帝國主義的侵華罪行。同時，武漢30萬市民在濟生三馬路(今自治街民意三路)，舉行追悼—三死難同胞暨反英示威大會。遊行隊伍如滾滾洪流迎着風雨，向英租界挺進。在廣大羣衆革命激情的推動下，國共合作的武漢國民政府設立漢口英租界臨時管理委員會，又加派軍隊，同原駐英租界的軍警一起正式接英租界內的公安、市政事宜。這樣，漢口英租界從1月5日起，已在武漢人民和武漢國民政府掌握之中。1927年2月19日、20日，英國駐華使館參贊阿馬利與武權國民政府外交長陳友仁簽訂協議，先後將漢口、九江兩地的英租界交還中國。這是中國人民第一次依靠自己的力量收回外國租界，在中國革命鬥爭史上具有重大歷史意義。
一丘一壑的成語來源於哪裏？,根據原文“一丘一壑，漢語成語，拼音是 yī qiū yī hè，原指隱者所居之地。後多用以指寄情山水。出自《漢書·敘傳上》。”可知，一丘一壑這個成語來源於《漢書·敘傳上》。,4892,百科,一丘一壑,一丘一壑，漢語成語，拼音是 yī qiū yī hè，原指隱者所居之地。後多用以指寄情山水。出自《漢書·敘傳上》。成語解釋 丘：土山；壑：山溝。 [1] 成語出處 漢書·敘傳上》：“漁釣於一壑，則萬物不奸其志；棲遲於一丘，則天下不易其樂。” [1] 成語用法 作賓語、定語；指寄情山水。 示例 南朝宋·劉義慶《世說新語·品藻》：“端委廟堂，使百官准則，臣不如亮；一丘一壑，自謂過之。” [1] 兄以一丘一壑過之，且築壙於側，與山締生死盟。 ◎明·徐宏祖《題小香山梅花堂詩序》 [1] 唐 王勃《上明員外啓》：“一丘一壑，同 阮籍 於西山；一嘯一歌，列 嵇 康 於北面。” 宋 陸游 《木山》詩：“一丘一壑吾所許，不須更慕明堂材。” 清 龔自珍 《己亥雜詩》之一五四：“一丘一壑我前導，重話 京華 送我情。”
張謙卑的歌曲《一個人失眠》中表達了什麼樣的情感？,根據原文“張謙卑最新主打歌《一個人失眠》，用傷感的歌詞傾吐心聲，以輕快明朗，節奏感強烈的曲風，表達失眠的人在想什麼”，可以知道這首歌表達了傷感的情感，傾訴失眠者的內心痛苦和無助。歌詞中描述了失眠者對女朋友的思念和懊悔，以及對過去愛情的懷念和遺憾。,5111,百科,一個人失眠,張謙卑最新主打歌《一個人失眠》，用傷感的歌詞傾吐心聲，以輕快明朗，節奏感強烈的曲風，表達失眠的人在想什麼。一個人失眠 [1] 作詞：張謙卑 作曲：張謙卑 歌詞： 誰懂過我的女朋友？ 她讓我瘋狂把淚流 任我盡情地嘆息 無助地哭泣 誰懂過我的女朋友？ 走到世界的盡頭 任我盡情地哭泣 憂傷的雨滴 在我們相愛以前 是誰傷害了我的女朋友 在失眠的夜裏 你無情的哭泣 純真美好的愛情 卻只能在夢裏 永遠不會忘記 失去純潔的你 彷彿心中有個聲音 總在追問： 誰懂過我的女朋友？ 她讓我瘋狂把淚流 任我盡情地嘆息 無助地哭泣 誰懂過我的女朋友？ 走到世界的盡頭 任我盡情地哭泣 憂傷的雨滴 在我們相愛以前 是誰傷害了我的女朋友 在失眠的夜裏 你無情的哭泣 純真美好的愛情 卻只能在夢裏 永遠不會忘記 失去純潔的你 彷彿心中有個聲音 總在追問： 誰懂過我的女朋友？ 她讓我瘋狂把淚流 任我盡情地嘆息 無助地哭泣 誰懂過我的女朋友？ 走到世界的盡頭 任我盡情地哭泣 憂傷的雨滴 誰懂過我的女朋友？ 她讓我瘋狂把淚流 任我盡情地嘆息 無助地哭泣 誰懂過我的女朋友？ 走到世界的盡頭 任我盡情地哭泣 憂傷的雨滴 參考資料 1. 相關歌曲試聽 ．QQ音樂．2018-02-05[引用日期2018-02-05]
任珅是哪首歌的演唱者？,根據原文“一個人的折磨是一首傷感情歌，振人心菲·。一個人的折磨基本信息 專輯：一個人的折磨 發行日：2011-03-24 發行公司：美力音樂 演唱:任珅 作詞:康梓峯 作曲:康梓峯”可知，任珅是《一個人的折磨》這首歌的演唱者。,5282,百科,一個人的折磨,一個人的折磨是一首傷感情歌，振人心菲·。一個人的折磨基本信息 專輯：一個人的折磨 發行日：2011-03-24 發行公司：美力音樂 演唱:任珅 作詞:康梓峯 作曲:康梓峯 一個人的折磨歌詞 聽過看過反反覆覆太多的眼淚 自己還是沒能躲過 被情所困的人那麼多 反正也不差我一個 怕過想過猶猶豫豫還是愛了 如果想你也是錯 那就這樣吧什麼也不用說 只想笑的比哭的人多 好吧 怪只怪我不傻 愛的太過執着 來得快走得太囉嗦 用不用感謝你的冷漠 讓我懂了我該怎麼做 原來 怕只怕你難過 現在我明白了 只有我一人受折磨 留下的痛很快過去了 可這傷疤多久才能癒合 [1] 參考資料 1. 一個人的折磨資料
許夢遠和那個陽光帥氣的男生會發生什麼？,"根據原文“許夢遠,一個小山村的小男孩...因爲一些關係而離家出走了,因爲是小孩子沒有錢,所以離開5天就沒有錢了...他們會發生什麼呢？”可知，許夢遠離家出走後因爲沒有錢暈倒，醒來時遇到一個陽光帥氣的男生。他們之間可能會發生一些故事，但具體情節需要閱讀小說來獲知。",5499,百科,一個人遠方,"小說類型 都市生活 內容簡介 許夢遠,一個小山村的小男孩...因爲一些關係而離家出走了,因爲是小孩子沒有錢,所以離開5天就沒有錢了...他慢慢的暈了過去.醒來時已經在醫藥了,只見一個陽光帥氣的男生...他們會發生什麼呢？"
電影《一個奶奶三個綁》的故事情節是什麼？,根據原文“中藥廠創始人蔡阿姨身患絕症，決意自殺，不料被走投無路的三個笨賊綁架！爲得贖金，笨賊們拼命阻止一心求死的蔡阿姨。隨着“自殺計劃”的深入，他們的感情悄然變化，四人從對抗到理解，最終解決了彼此的困境。”，電影的故事情節是關於一名中藥廠創始人蔡阿姨因爲患絕症決定自殺，但被三個笨賊綁架後，四人之間經歷了一系列波折和感情變化，最終解決了彼此的困境。,5786,百科,一個奶奶三個綁,備案立項號片名備案單位編劇備案結果備案地影劇備字[2017]第3560號一個奶奶三個綁上海喜焰文化發展有限公司丁丁、包歐同意拍攝上海市梗概：中藥廠創始人蔡阿姨身患絕症，決意自殺，不料被走投無路的三個笨賊綁架！爲得贖金，笨賊們拼命阻止一心求死的蔡阿姨。隨着“自殺計劃”的深入，他們的感情悄然變化，四人從對抗到理解，最終解決了彼此的困境。 [1] 參考資料 1. 電影拍攝製作備案公示表 ．國家新聞出版廣電總局[引用日期2017-06-14]
尹瑩和徹宇分手的原因是什麼？,"根據原文“尹瑩從來沒有想過會和徹宇分手,她以爲他的天空將永遠爲她陽光明媚。 但是那天來得那麼突然。她推開門,他的懷裏躺着另外一個嬌小的女人。”可知，尹瑩和徹宇分手的原因是徹宇在她不在的時候背叛了她。",6015,百科,一個月的愛情,"《一個月的愛情》是言情小說，作者是伶壹君。內容簡介 尹瑩從來沒有想過會和徹宇分手,她以爲他的天空將永遠爲她陽光明媚。 但是那天來得那麼突然。 她推開門,他的懷裏躺着另外一個嬌小的女人。 “我只去了一個月。”她冷冷地說。 他摟了摟懷中的女子,隨意答道“我以爲你要去十年。”=那個男人救了她兩次,第一次從心理,第二次從身體。 陽光在他的臉上斑駁,他是一個很好看的男人,只可惜在錯誤的時間與錯誤的地點與她相遇。 “喂,你很寂寞不是麼？” 她轉頭,聲音如嚴冬一般寒冷“你想說什麼？” 男人揚了揚眉,嘴角上翹,“反正你也失戀了,我現在也單身,不如我們談場戀愛吧！一個月爲限。"
